,City,LinReg_RMSE,MultReg_RMSE,BaseLine_RMSE
0,Cairo,4.3118447619,2.4282549139,6.5177376254
1,Casablanca,3.3073611149,2.0864167746,4.4117287511
2,Lima,0.9976748173,0.6744456896,1.2831524633
3,Madrid,4.7315518376,2.6598177544,7.9998096666
4,Prague,5.2949610043,2.2316489873,8.5961020319
5,Singapore,0.8879064171,0.5214672691,0.922122488
6,Jakarta,0.6868238552,0.5333683033,0.7178799494
7,Beijing,6.6614222706,3.5809312597,11.6391390848
8,Rabat,3.0829209647,1.8526657765,4.1086917866
9,Stockholm,5.4080813859,1.7478581177,8.1421917676
10,Los Angeles,3.7923343979,3.1705431387,5.1568909606
11,Moscow,6.0273842155,3.3508932331,11.4687498405
12,Oslo,4.5479450193,1.9922954267,8.5633518147
13,Dublin,2.9073152681,0.6846221086,4.0422037534
14,Berlin,5.3963943586,1.9418345222,8.2934384854
15,Kuala Lumpur,0.7546573631,0.4704603834,0.8134880529
16,Lagos,0.9944529078,0.494811288,1.1207821964
17,London,3.6918881046,1.0131051912,5.4951517737
18,Mumbai,2.0048030846,1.5980601173,2.5259598933
19,Sydney,2.6745906908,1.5196695753,3.5305508166
20,Tokyo,5.084903391,1.4401672076,7.8079908511
21,Vienna,4.983066173,2.2325371662,8.7072678952
22,Mexico City,2.0408921374,1.5649736247,2.4022843247
23,Cape Town,1.6230112422,1.0233363452,2.4293660526
24,Paris,4.0264855951,1.5389338348,6.6067671893
25,Athens,3.9458995391,1.9396279946,6.9528317503
26,Zurich,4.3198283708,2.0069691749,7.8537567242
27,Istanbul,5.2800466813,1.7382148508,7.4233949136
28,Toronto,7.654038529,2.5049357982,9.6985842566
29,Barcelona,4.6061428059,1.7704417871,6.3640125646
30,Warsaw,5.5874139851,2.548536691,9.3680581455
31,Hong Kong,3.1128247527,1.1613271813,4.9274874443
32,Amsterdam,3.6500011842,1.2589277136,5.9390873199
33,Brussels,4.0228698373,1.5396491987,6.4974000484
34,Buenos Aires,3.8448092095,1.6261753603,5.335662738
35,Manila,1.3493095325,0.9134846755,1.5795548838
36,Johannesburg,2.9227871857,2.2442855918,4.5892057636
37,Taipei,3.162262998,0.918008817,4.5232234766
38,Helsinki,5.0971878715,1.9489443736,8.2037939044
39,Hanoi,3.2600971711,1.2186971742,5.2869665908
40,Bogota,0.916952286,0.8423732665,0.958876981
41,Rome,4.8774332647,2.1749149776,7.0267714429
42,Rio de Janeiro,1.6273348017,0.9505545107,2.2954179379
43,Nairobi,0.9271498779,0.7990035071,1.3080788901
44,Seoul,5.2243714989,2.7629462367,10.1696356235
45,Bangkok,1.8483980816,1.2817370417,2.1272546657
46,Dubai,4.2773227965,1.8151861076,5.4786070086
47,Budapest,5.3531566818,2.26974782,9.4020587294
48,Santiago,0.8820680078,0.6126104135,0.9808084875
49,New York,6.7027036223,2.2275482437,8.7242221557
